n	L	model	dist	prop_openm	k	m	clusters	open_minded_cl	time_steps	froozen	min_diff
1000000	6.0	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	1.5733947478224763e-10
1000000	6.1	prop	unif	0.3	0.9	0.0	700002	2	80	TRUE	1.7987389355766936e-11
1000000	6.1	prop	unif	0.4	0.9	0.0	600002	2	80	TRUE	1.252353776237669e-11
1000000	6.1	prop	unif	0.5	0.9	0.0	500002	2	80	TRUE	6.366018823200648e-12
1000000	6.1	prop	unif	0.6	0.9	0.0	400001	1	80	FALSE	8.047873478744805e-11
1000000	6.1	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	1.2500978030516308e-10
1000000	6.2	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	8.594014389018412e-12
1000000	6.2	prop	unif	0.4	0.9	0.0	600002	2	80	TRUE	1.6116663559273547e-11
1000000	6.2	prop	unif	0.5	0.9	0.0	500002	2	80	FALSE	1.1817213874110166e-11
1000000	6.2	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	5.500644384426323e-11
1000000	6.2	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	1.759126178058068e-11
1000000	6.3	prop	unif	0.3	0.9	0.0	700002	2	80	TRUE	1.5547563236850692e-11
1000000	6.3	prop	unif	0.4	0.9	0.0	600002	2	80	TRUE	5.0751403080084856e-11
1000000	6.3	prop	unif	0.5	0.9	0.0	500001	1	80	TRUE	4.210520820890906e-13
1000000	6.3	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	8.849365684682198e-12
1000000	6.3	prop	unif	0.7	0.9	0.0	300001	1	80	FALSE	1.270414884402271e-10
1000000	6.4	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	2.6147972675971687e-12
1000000	6.4	prop	unif	0.4	0.9	0.0	600001	1	80	TRUE	1.8144485913751396e-11
1000000	6.4	prop	unif	0.5	0.9	0.0	500002	2	80	TRUE	7.898837139919124e-11
1000000	6.4	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	9.629186337178908e-11
1000000	6.4	prop	unif	0.7	0.9	0.0	300001	1	80	FALSE	4.623856852958852e-12
1000000	6.5	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	1.8357093622967113e-11
1000000	6.5	prop	unif	0.4	0.9	0.0	600001	1	80	TRUE	1.3437251311643195e-11
1000000	6.5	prop	unif	0.5	0.9	0.0	500002	2	80	TRUE	3.4132696669075813e-12
